RMSE  F1  R2
1.7182e-01 0.5089 0.9699 0.8700
1.8631e-01 0.9721 0.8149 0.6727
5.4803e-02 0.8198 0.9937 0.9367
4.1847e-02 0.9513 0.9827 0.8785
9.2865e-03 0.9915 0.9691 0.8887
4.0787e-02 0.9843 0.9825 0.9076
2.9801e-02 0.9978 0.9408 0.7905
1.5113e-01 0.5655 0.9835 0.8987
5.0542e-02 0.6237 0.7456 0.7028
1.5178e-02 0.9459 0.9893 0.8322
1.0275e-02 0.9929 0.9915 0.9404
1.7509e-02 0.9843 0.9905 0.9281
7.5751e-02 0.9166 0.9881 0.9452
4.3968e-02 0.8979 0.9843 0.9398
4.3171e-02 0.9323 0.9904 0.9065
6.3279e-02 0.8149 0.9890 0.9528
2.5472e-02 0.9723 0.9840 0.9129
1.6898e-02 0.9900 0.9709 0.8516
1.2072e-01 0.0791 0.7672 0.6048
2.7634e-02 0.9702 0.9877 0.9027
2.6746e-02 0.9445 0.9579 0.8795
6.2863e-02 0.9157 0.9762 0.9497
7.7829e-02 0.9437 0.9901 0.9382
3.2704e-01 0.9999 0.4678 0.4538
2.1716e-02 0.9773 0.9914 0.9425
9.6671e-02 0.8332 0.9912 0.8302
8.0092e-02 0.7460 0.9905 0.9376
5.3265e-02 0.8830 0.9681 0.9162
3.7061e-02 0.9600 0.9829 0.8924
3.0676e-02 0.9848 0.9895 0.9239
5.8796e-02 0.8971 0.9867 0.9261
8.2893e-02 0.5849 0.9716 0.8890
3.7671e-02 0.9667 0.9829 0.9109
1.2816e-01 0.8685 0.9866 0.9244
5.1815e-02 0.9800 0.9732 0.8993
4.0373e-02 0.8696 0.9233 0.8836
8.3797e-03 0.9927 0.9898 0.9319
1.1670e-02 0.9595 0.9919 0.9227
4.8605e-02 0.9522 0.9489 0.7889
1.3179e-01 0.8790 0.9684 0.8874
6.9528e-02 0.8863 0.9737 0.9264
1.0945e-01 0.8641 0.9390 0.8287
3.3717e-01 0.9939 0.6158 0.4754
2.6269e-02 0.8329 0.9783 0.8622
1.4443e-02 0.9868 0.9856 0.9456
2.6277e-02 0.9645 0.9759 0.8987
1.5402e-02 0.9694 0.9110 0.7493
6.3337e-02 0.8560 0.9393 0.8225
9.0389e-02 0.1559 0.7327 0.7743
2.4146e-02 0.8791 0.9644 0.9114
1.1062e-01 0.5068 0.9620 0.7370
8.3455e-02 0.9846 0.8884 0.7531
3.7142e-02 0.9856 0.9842 0.9231
4.5546e-02 0.9717 0.9891 0.9123
2.0878e-02 0.8774 0.9809 0.9244
1.8106e-02 0.9373 0.9890 0.9538
1.5238e-01 0.8601 0.9829 0.9142
7.7189e-02 0.9968 0.9461 0.7746
9.8426e-03 0.9938 0.9719 0.8612
1.3365e-02 0.9964 0.9862 0.9193
1.8339e-02 0.9810 0.9772 0.8643
7.5619e-02 1.0000 0.9178 0.7946
6.5985e-02 0.8579 0.9485 0.8674
