RMSE  F1  R2
4.3416e-02 0.6887 0.9957 0.9880
4.2366e-02 0.7149 0.9926 0.9812
7.5451e-02 0.7400 0.9865 0.9855
7.0430e-02 0.2741 0.9748 0.9864
4.4094e-02 0.7526 0.9901 0.9931
4.4117e-02 0.6845 0.9813 0.9886
1.0594e-01 0.7568 0.9825 0.9602
2.9302e-02 0.6743 0.9864 0.9912
2.9942e-02 0.7861 0.9819 0.9737
8.7490e-02 0.5352 0.9478 0.9695
4.0509e-02 0.7321 0.9840 0.9918
3.8274e-02 0.7453 0.9794 0.9876
3.7135e-02 0.6662 0.9857 0.9930
5.4972e-02 0.6878 0.9812 0.9693
4.5175e-02 0.7561 0.9929 0.9906
3.6032e-02 0.5168 0.9855 0.9876
3.7471e-02 0.3188 0.9816 0.9789
1.1070e-01 0.0833 0.9917 0.9832
4.1957e-02 0.6818 0.9926 0.9572
3.7486e-02 0.7030 0.9920 0.9940
7.7731e-02 0.7142 0.9872 0.9886
7.8333e-02 0.3368 0.9592 0.9686
5.2148e-02 0.7085 0.9678 0.9885
6.9284e-02 0.0983 0.9829 0.9888
3.5236e-02 0.7627 0.9892 0.9809
5.1859e-02 0.8731 0.9867 0.9843
1.9118e-01 0.2938 0.9410 0.9783
3.7185e-02 0.8295 0.9872 0.9929
4.8563e-02 0.5586 0.9867 0.9913
7.3695e-02 0.0344 0.9849 0.9611
5.0111e-02 0.5989 0.9889 0.9824
3.8810e-02 0.8223 0.9852 0.9889
3.7107e-02 0.7249 0.9537 0.9700
7.5130e-02 0.8073 0.9905 0.9896
3.1402e-02 0.7232 0.9932 0.9846
1.1432e-01 0.0837 0.9925 0.9891
3.7719e-02 0.3308 0.9516 0.9902
3.2050e-02 0.6987 0.9863 0.9934
4.4200e-02 0.7280 0.9908 0.9872
4.5032e-02 0.6626 0.9774 0.9898
3.4126e-02 0.2273 0.9736 0.9831
4.5708e-02 0.6336 0.9914 0.9921
3.8868e-02 0.6262 0.9927 0.9925
4.0932e-02 0.0383 0.9604 0.9782
4.3125e-02 0.7017 0.9766 0.9891
6.6751e-02 0.0000 0.9750 0.9199
7.9444e-02 0.6446 0.9916 0.9815
3.8466e-02 0.5130 0.9892 0.9889
4.8227e-02 0.6051 0.9898 0.9934
1.2538e-01 0.5207 0.9862 0.9420
8.3896e-02 0.4517 0.9718 0.9792
6.0726e-02 0.2115 0.9919 0.9814
3.2701e-02 0.7725 0.9829 0.9926
4.4569e-02 0.7402 0.9824 0.9839
6.7136e-02 0.6194 0.9929 0.9865
3.5613e-02 0.6771 0.9766 0.9841
5.0383e-02 0.1271 0.9939 0.9874
5.4906e-02 0.8025 0.9630 0.9898
5.8644e-02 0.7397 0.9879 0.9947
5.9431e-02 0.0000 0.9764 0.9863
4.2789e-02 0.4654 0.9846 0.9860
3.0531e-02 0.5845 0.9912 0.9933
5.7702e-02 0.5520 0.9785 0.9796
