MAE  F1  R2
2.1907e-01 0.4452 0.6925 0.7179
2.9617e-01 0.9753 0.5037 0.4179
8.3986e-02 0.3688 0.7820 0.5947
3.4578e-02 0.9745 0.7575 0.6432
1.1293e-01 0.5427 0.5013 0.4950
4.6198e-02 0.9774 0.5994 0.4683
1.0995e-01 0.8534 0.1711 0.3907
2.3545e-01 0.4505 0.8338 0.6925
1.2109e-01 0.5564 0.4199 0.6481
7.5600e-02 0.7814 0.7495 0.6718
4.6148e-02 0.9465 0.7555 0.4944
3.9932e-02 0.9727 0.7354 0.6563
1.4582e-01 0.8804 0.8314 0.5562
8.4590e-02 0.8345 0.6229 0.6423
1.2051e-01 0.7827 0.8210 0.6453
8.7234e-02 0.7385 0.8329 0.6628
3.8198e-02 0.9507 0.6457 0.4517
4.7626e-02 0.9732 0.6674 0.5520
1.6016e-01 0.1678 0.5824 0.8437
5.3565e-02 0.9617 0.5781 0.5859
4.4881e-02 0.8977 0.7276 0.6633
8.0176e-02 0.8921 0.7652 0.6705
1.4972e-01 0.9121 0.8259 0.5532
2.3089e+00 1.0000 -0.0759 0.4154
4.4108e-02 0.9638 0.7262 0.5153
1.7282e-01 0.7532 0.7394 0.6300
7.4640e-02 0.7251 0.8407 0.5895
4.3918e-02 0.9601 0.6167 0.5649
1.0067e-01 0.7940 0.6821 0.6434
6.4564e-02 0.9426 0.5722 0.6202
1.0395e-01 0.6573 0.7202 0.5055
6.8384e-02 0.9127 0.5633 0.6222
4.0483e-02 0.9740 0.6877 0.5255
1.5853e-01 0.8153 0.7954 0.6481
5.4349e-02 0.9473 0.6191 0.5213
1.1078e-01 0.3176 0.7715 0.6312
5.0415e-02 0.9316 0.6081 0.5041
6.6389e-02 0.7514 0.6959 0.5846
6.5192e-02 0.9342 0.4217 0.5369
1.0165e-01 0.8964 0.7102 0.5816
7.2764e-02 0.8847 0.6671 0.5893
5.0725e-02 0.9006 0.7779 0.6042
5.1913e-01 0.9904 0.4031 0.5728
7.7166e-02 0.5802 0.6892 0.6558
5.0592e-02 0.9292 0.7952 0.5974
4.0563e-02 0.9548 0.7732 0.5512
2.4649e-01 0.1959 0.6982 0.5474
6.7677e-02 0.8434 0.7287 0.6995
1.6095e-01 0.2751 0.4417 0.7473
5.5759e-02 0.5403 0.7967 0.6286
1.3749e-01 0.2737 0.5674 0.5981
2.9982e-01 0.9846 0.5970 0.5782
5.0124e-02 0.9801 0.6054 0.5436
6.1179e-02 0.9260 0.6815 0.6164
5.5230e-02 0.7711 0.5080 0.6077
8.0217e-02 0.7020 0.6019 0.5686
1.5797e-01 0.8741 0.7989 0.5547
9.4279e-02 0.9241 0.4336 0.7687
4.4047e-02 0.9628 0.6597 0.5687
6.4066e-02 0.9637 0.7745 0.5165
4.2492e-02 0.9772 0.6508 0.5417
9.0373e-02 0.9973 0.6089 0.6403
1.2613e-01 0.7734 0.6713 0.6037
